main process	colocated process	configuration	speedup
ep	ep	half_node_IO	0.9509
ep	ep	half_socket_RR	0.9706
ep	ep	half_socket_IO	1.0243
ep	ep	half_numa_RR	0.9686
ep	ep	half_numa_IO	1.0750
ep	ep	half_ccd_RR	0.9664
ep	ep	half_ccd_IO	0.9422
ep	cg	half_node_IO	0.9803
ep	cg	half_socket_RR	0.9084
ep	cg	half_socket_IO	0.9159
ep	cg	half_numa_RR	0.7748
ep	cg	half_numa_IO	0.7518
ep	cg	half_ccd_RR	0.7666
ep	cg	half_ccd_IO	0.8005
cg	ep	half_node_IO	0.9945
cg	ep	half_socket_RR	0.9917
cg	ep	half_socket_IO	0.9968
cg	ep	half_numa_RR	0.8706
cg	ep	half_numa_IO	0.8592
cg	ep	half_ccd_RR	0.9069
cg	ep	half_ccd_IO	0.9272
ep	mg	half_node_IO	0.9959
ep	mg	half_socket_RR	0.9486
ep	mg	half_socket_IO	0.9724
ep	mg	half_numa_RR	0.8876
ep	mg	half_numa_IO	0.9871
ep	mg	half_ccd_RR	0.8592
ep	mg	half_ccd_IO	0.8609
mg	ep	half_node_IO	1.0006
mg	ep	half_socket_RR	1.0000
mg	ep	half_socket_IO	1.0004
mg	ep	half_numa_RR	0.9940
mg	ep	half_numa_IO	0.9937
mg	ep	half_ccd_RR	0.9607
mg	ep	half_ccd_IO	0.9589
ep	ft	half_node_IO	0.9840
ep	ft	half_socket_RR	0.8810
ep	ft	half_socket_IO	0.9392
ep	ft	half_numa_RR	0.8056
ep	ft	half_numa_IO	0.9297
ep	ft	half_ccd_RR	0.7872
ep	ft	half_ccd_IO	0.8256
ft	ep	half_node_IO	0.9868
ft	ep	half_socket_RR	0.9793
ft	ep	half_socket_IO	0.9815
ft	ep	half_numa_RR	0.9836
ft	ep	half_numa_IO	0.9697
ft	ep	half_ccd_RR	0.9441
ft	ep	half_ccd_IO	0.9407
cg	cg	half_node_IO	0.9708
cg	cg	half_socket_RR	0.9958
cg	cg	half_socket_IO	0.9948
cg	cg	half_numa_RR	0.5870
cg	cg	half_numa_IO	0.5532
cg	cg	half_ccd_RR	0.5054
cg	cg	half_ccd_IO	0.4951
cg	mg	half_node_IO	0.9934
cg	mg	half_socket_RR	1.0372
cg	mg	half_socket_IO	1.0382
cg	mg	half_numa_RR	0.5523
cg	mg	half_numa_IO	0.5140
cg	mg	half_ccd_RR	0.2844
cg	mg	half_ccd_IO	0.2871
mg	cg	half_node_IO	0.9977
mg	cg	half_socket_RR	0.9956
mg	cg	half_socket_IO	0.9954
mg	cg	half_numa_RR	0.6117
mg	cg	half_numa_IO	0.6031
mg	cg	half_ccd_RR	0.6585
mg	cg	half_ccd_IO	0.6483
cg	ft	half_node_IO	0.9894
cg	ft	half_socket_RR	1.0017
cg	ft	half_socket_IO	1.0028
cg	ft	half_numa_RR	0.5609
cg	ft	half_numa_IO	0.5304
cg	ft	half_ccd_RR	0.4527
cg	ft	half_ccd_IO	0.4445
ft	cg	half_node_IO	0.9412
ft	cg	half_socket_RR	0.9531
ft	cg	half_socket_IO	0.9526
ft	cg	half_numa_RR	0.7647
ft	cg	half_numa_IO	0.7596
ft	cg	half_ccd_RR	0.7157
ft	cg	half_ccd_IO	0.7205
mg	mg	half_node_IO	0.9501
mg	mg	half_socket_RR	0.9495
mg	mg	half_socket_IO	0.9500
mg	mg	half_numa_RR	0.4854
mg	mg	half_numa_IO	0.4852
mg	mg	half_ccd_RR	0.3995
mg	mg	half_ccd_IO	0.3986
mg	ft	half_node_IO	0.9990
mg	ft	half_socket_RR	0.9859
mg	ft	half_socket_IO	0.9860
mg	ft	half_numa_RR	0.5516
mg	ft	half_numa_IO	0.5508
mg	ft	half_ccd_RR	0.5053
mg	ft	half_ccd_IO	0.5036
ft	mg	half_node_IO	0.9825
ft	mg	half_socket_RR	0.9684
ft	mg	half_socket_IO	0.9681
ft	mg	half_numa_RR	0.7322
ft	mg	half_numa_IO	0.7282
ft	mg	half_ccd_RR	0.5945
ft	mg	half_ccd_IO	0.5910
ft	ft	half_node_IO	0.9764
ft	ft	half_socket_RR	0.9419
ft	ft	half_socket_IO	0.9462
ft	ft	half_numa_RR	0.7170
ft	ft	half_numa_IO	0.6932
ft	ft	half_ccd_RR	0.5886
ft	ft	half_ccd_IO	0.5827
