main process	colocated process	configuration	speedup
ep	ep	half_node_RR	0.9295
ep	ep	half_node_IO	0.9509
ep	ep	half_socket_RR	0.9706
ep	ep	half_socket_IO	0.9989
ep	ep	half_numa_RR	0.9685
ep	ep	half_numa_IO	0.9665
ep	ep	half_ccd_RR	0.9670
ep	ep	half_ccd_IO	0.9429
ep	cg	half_node_RR	0.8076
ep	cg	half_node_IO	0.9803
ep	cg	half_socket_RR	0.9084
ep	cg	half_socket_IO	0.8932
ep	cg	half_numa_RR	0.7747
ep	cg	half_numa_IO	0.6759
ep	cg	half_ccd_RR	0.7670
ep	cg	half_ccd_IO	0.8011
cg	ep	half_node_RR	1.6860
cg	ep	half_node_IO	0.9945
cg	ep	half_socket_RR	0.9158
cg	ep	half_socket_IO	0.9462
cg	ep	half_numa_RR	1.2853
cg	ep	half_numa_IO	1.4458
cg	ep	half_ccd_RR	1.5849
cg	ep	half_ccd_IO	1.6957
ep	mg	half_node_RR	0.8639
ep	mg	half_node_IO	0.9959
ep	mg	half_socket_RR	0.9486
ep	mg	half_socket_IO	0.9483
ep	mg	half_numa_RR	0.8874
ep	mg	half_numa_IO	0.8874
ep	mg	half_ccd_RR	0.8597
ep	mg	half_ccd_IO	0.8616
mg	ep	half_node_RR	2.1764
mg	ep	half_node_IO	1.0006
mg	ep	half_socket_RR	0.9998
mg	ep	half_socket_IO	1.0013
mg	ep	half_numa_RR	1.8408
mg	ep	half_numa_IO	1.8454
mg	ep	half_ccd_RR	2.1750
mg	ep	half_ccd_IO	2.1749
ep	ft	half_node_RR	0.8162
ep	ft	half_node_IO	0.9840
ep	ft	half_socket_RR	0.8810
ep	ft	half_socket_IO	0.9159
ep	ft	half_numa_RR	0.8055
ep	ft	half_numa_IO	0.8358
ep	ft	half_ccd_RR	0.7877
ep	ft	half_ccd_IO	0.8263
ft	ep	half_node_RR	1.4847
ft	ep	half_node_IO	0.9868
ft	ep	half_socket_RR	0.9977
ft	ep	half_socket_IO	0.9942
ft	ep	half_numa_RR	1.3793
ft	ep	half_numa_IO	1.3667
ft	ep	half_ccd_RR	1.4848
ft	ep	half_ccd_IO	1.4856
cg	cg	half_node_RR	0.9093
cg	cg	half_node_IO	0.9708
cg	cg	half_socket_RR	0.9197
cg	cg	half_socket_IO	0.9442
cg	cg	half_numa_RR	0.8667
cg	cg	half_numa_IO	0.9308
cg	cg	half_ccd_RR	0.8833
cg	cg	half_ccd_IO	0.9055
cg	mg	half_node_RR	0.5220
cg	mg	half_node_IO	0.9934
cg	mg	half_socket_RR	0.9579
cg	mg	half_socket_IO	0.9855
cg	mg	half_numa_RR	0.8154
cg	mg	half_numa_IO	0.8648
cg	mg	half_ccd_RR	0.4970
cg	mg	half_ccd_IO	0.5251
mg	cg	half_node_RR	1.4734
mg	cg	half_node_IO	0.9977
mg	cg	half_socket_RR	0.9954
mg	cg	half_socket_IO	0.9963
mg	cg	half_numa_RR	1.1329
mg	cg	half_numa_IO	1.1201
mg	cg	half_ccd_RR	1.4909
mg	cg	half_ccd_IO	1.4705
cg	ft	half_node_RR	0.8162
cg	ft	half_node_IO	0.9894
cg	ft	half_socket_RR	0.9252
cg	ft	half_socket_IO	0.9518
cg	ft	half_numa_RR	0.8281
cg	ft	half_numa_IO	0.8925
cg	ft	half_ccd_RR	0.7912
cg	ft	half_ccd_IO	0.8130
ft	cg	half_node_RR	1.1359
ft	cg	half_node_IO	0.9412
ft	cg	half_socket_RR	0.9709
ft	cg	half_socket_IO	0.9650
ft	cg	half_numa_RR	1.0723
ft	cg	half_numa_IO	1.0707
ft	cg	half_ccd_RR	1.1255
ft	cg	half_ccd_IO	1.1379
mg	mg	half_node_RR	0.9043
mg	mg	half_node_IO	0.9501
mg	mg	half_socket_RR	0.9494
mg	mg	half_socket_IO	0.9509
mg	mg	half_numa_RR	0.8990
mg	mg	half_numa_IO	0.9010
mg	mg	half_ccd_RR	0.9045
mg	mg	half_ccd_IO	0.9041
mg	ft	half_node_RR	1.1422
mg	ft	half_node_IO	0.9990
mg	ft	half_socket_RR	0.9857
mg	ft	half_socket_IO	0.9869
mg	ft	half_numa_RR	1.0215
mg	ft	half_numa_IO	1.0229
mg	ft	half_ccd_RR	1.1440
mg	ft	half_ccd_IO	1.1421
ft	mg	half_node_RR	0.9373
ft	mg	half_node_IO	0.9825
ft	mg	half_socket_RR	0.9865
ft	mg	half_socket_IO	0.9806
ft	mg	half_numa_RR	1.0267
ft	mg	half_numa_IO	1.0264
ft	mg	half_ccd_RR	0.9349
ft	mg	half_ccd_IO	0.9334
ft	ft	half_node_RR	0.9179
ft	ft	half_node_IO	0.9764
ft	ft	half_socket_RR	0.9596
ft	ft	half_socket_IO	0.9584
ft	ft	half_numa_RR	1.0055
ft	ft	half_numa_IO	0.9770
ft	ft	half_ccd_RR	0.9257
ft	ft	half_ccd_IO	0.9203
